,YEAR,MONTH,AMOUNT_RECAST,monthly_apy
0,2025,1,2164.0,44.60820419838048
1,2025,2,1625.0,32.05644690496114
2,2025,3,1063.0,20.03756335945779
3,2025,4,-1821.0,-27.356389654702106
4,2025,5,46.0,0.7993985475488907
5,2025,6,111.0,1.9389552199734927
6,2025,7,2100.0,43.0627476924162
7,2025,8,399.0,7.131290789256406
8,2025,9,56.0,0.9739527718036323
9,2025,10,1466.0,28.549034955749786
10,2025,11,958.0,17.906294361690044
